"","RP_ENTITY_ID","ENTITY_NAME","cnt"
"1","388CE0","i-CABLE Communications Ltd.",10778
"2","43BCDD","Imperial Oil Ltd.",10766
"3","F19C62","Susquehanna Financial Group LLLP",10747
"4","2593CE","Korea Development Bank",10742
"5","203475","Delhaize Group S.A.",10728
"6","65B36F","Petro-Canada",10727
"7","160B14","Apax Partners LLP",10719
"8","7507A6","Euronext N.V.",10695
"9","BDD12C","Whirlpool Corp.",10694
"10","01329F","FUJIFILM Holdings Corp.",10688
"11","5516B5","Mitsubishi UFJ Securities Co. Ltd.",10686
"12","305625","Fletcher Building Ltd.",10681
"13","E0B27B","Roth Capital Partners LLC",10673
"14","2FE28F","TransCanada Corp.",10672
"15","FA1502","Cargill  Inc.",10659
"16","E2D3F3","Cameco Corp.",10650
"17","982980","7-Eleven Inc.",10644
"18","CB10F8","Hennes & Mauritz AB",10644
"19","E26FC3","CSX Corp.",10644
"20","3A30EA","Daishin Securities Co. Ltd.",10638
"21","26D23F","Vodafone K.K.",10634
"22","5D763B","Prada S.p.A.",10615
"23","E4D24D","Dun & Bradstreet Corp.",10578
"24","7D9FAB","Union Fenosa S.A.",10573
"25","869261","Alleanza Assicurazioni S.p.A.",10565
"26","143C52","Dollar Tree Inc.",10564
"27","1163CC","Millennium Management LLC",10558
"28","60E604","Collins Stewart Hawkpoint Ltd.",10557
"29","408CFB","China National Aviation Co. Ltd.",10541
"30","968966","Pitney Bowes Inc.",10526
"31","7CCD06","New Century Financial Corp.",10520
"32","43A060","ComScore Inc.",10513
"33","828469","Contact Energy Ltd.",10510
"34","A1BC70","ICOS Corp.",10501
"35","7BDD8B","Cable & Wireless Optus Ltd.",10497
"36","1ACA7D","Napster Inc.",10493
"37","6D5749","D.A. Davidson & Co.",10479
"38","BFDF5E","Cerberus Capital Management L.P.",10469
"39","934CC3","NetApp Inc.",10468
"40","ACF77B","Paccar Inc.",10454
"41","87B81A","CDW Corp.",10447
"42","06EF42","D.R. Horton Inc.",10432
"43","E57F94","Investec PLC",10421
"44","D8E667","Misys Group Ltd.",10416
"45","A3940D","Hong Kong & China Gas Co. Ltd.",10412
"46","539A78","Molex Inc.",10402
"47","A7A10A","HDFC Bank Ltd.",10393
"48","1CB9D3","MBIA Inc.",10384
"49","6FAE84","Syngenta AG",10382
"50","178C6C","Fraser & Neave Ltd.",10382
"51","C28A0F","Sal. Oppenheim jr. & Cie. AG & Co. KGaA",10374
"52","7B3608","Singapore Technologies Engineering Ltd.",10370
"53","170A6F","Pier 1 Imports Inc.",10365
"54","53301E","Bharat Heavy Electricals Ltd.",10361
"55","D3741A","ModusLink Global Solutions Inc.",10361
"56","BBF166","Tele Norte Leste Participacoes S/A",10352
"57","16822A","Lonmin PLC",10339
"58","D74613","Snam S.p.A.",10337
"59","7AC86E","DTE Energy Co.",10322
"60","BD5983","AWB Ltd.",10322
"61","8A9B90","Georgia-Pacific Corp.",10297
"62","C35C7D","Goodrich Corp.",10293
"63","5F3957","IG Group Holdings PLC",10283
"64","18958F","PTT Exploration & Production PCL",10282
"65","29C246","Engelhard Corp.",10281
"66","8D8742","Ricoh Co. Ltd.",10264
"67","DB5DA5","Sun Life Financial Inc.",10257
"68","5C7601","Lincoln National Corp.",10255
"69","1F1B1A","WILLIAM HILL PLC",10247
"70","E0AD75","Antofagasta PLC",10245
"71","E0339F","Textron Inc.",10244
"72","11470C","Rohm Co. Ltd.",10232
"73","0AB992","Industrial & Commercial Bank of China Ltd.",10231
"74","9803B7","Johnson Controls Inc.",10224
"75","5F0350","Harris Interactive Inc.",10218
"76","7B6193","Philippine Stock Exchange Inc.",10217
"77","E3ECD0","Interfax Information Services Group",10189
"78","E206B0","The Travelers Companies Inc.",10188
"79","9CAC83","James Hardie Industries PLC",10176
"80","C3D62D","Okasan Securities Group Inc.",10159
"81","843395","Zürcher Kantonalbank",10145
"82","2E3537","PanAmSat Holding Corp.",10139
"83","DF8855","Amcor Ltd.",10127
"84","7F561F","Hanson PLC",10126
"85","C8BC65","Cosco Shipping Ports Ltd.",10123
"86","2873A5","Yahoo Japan Corp.",10108
"87","2DBC3B","Transocean Ltd.",10102
"88","B531E2","JX Holdings Inc.",10099
"89","531EF1","Check Point Software Technologies Ltd.",10094
"90","B71396","Lafarge North America Inc.",10086
"91","55E851","Denway Motors Ltd.",10086
"92","3E149C","Danone S.A.",10080
"93","83EE8C","SK Holdings Co. Ltd.",10080
"94","E16376","Societe d'Edition de Canal Plus SA",10075
"95","D7FE6B","De Beers S.A.",10058
"96","4B2684","Empower Technologies Corp.",10055
"97","84162B","Sigma-Aldrich Corp.",10024
"98","F0E267","CIMIC Group Ltd.",9954
"99","5F0B57","SeeBeyond Technology Corp.",9932
"100","F6C872","Neiman Marcus Inc.",9930
"101","76BA6C","Friends Provident PLC",9915
"102","14AA8D","Next PLC",9914
"103","0CE7F6","Foot Locker Inc.",9896
"104","766047","Hartford Financial Services Group Inc.",9892
"105","08D469","Ascential PLC",9878
"106","45DCCB","TOM Group Ltd.",9875
"107","CF6A5A","Alaska Air Group Inc.",9858
"108","339F49","Equant N.V.",9854
"109","EA9518","Blockbuster Inc.",9852
"110","4BF765","Scottish & Newcastle PLC",9839
"111","D12DD1","Lion Nathan Ltd.",9832
"112","F50039","Sovereign Bancorp Inc.",9822
"113","A6968A","NTL Inc.",9818
"114","AD3C93","AFLAC Inc.",9799
"115","A28C54","Vinci S.A.",9792
"116","1D3A00","Chico's FAS Inc.",9791
"117","BC6055","BMC Software Inc.",9789
"118","CD06A2","First Horizon National Corp.",9787
"119","AA6595","Allergan Inc.",9780
"120","76596B","BOC Hong Kong (Holdings) Ltd.",9771
"121","574582","Sinopec Shanghai Petrochemical Co. Ltd.",9761
"122","0F0DDA","TDK Corp.",9751
"123","746C91","QBE Insurance Group Ltd.",9743
"124","DC2B00","Dollar General Corp.",9710
"125","603179","Belgacom S.A.",9695
"126","E82BF7","Onex Corp. (Canada)",9693
"127","0BD751","M.I.M. Holdings Ltd.",9678
"128","E14AF1","Petrobras Argentina S.A.",9675
"129","5E07F9","Ranbaxy Laboratories Ltd.",9673
"130","ADA4B9","Barrick Gold Inc.",9672
"131","4CD369","Technicolor S.A.",9669
"132","22C58E","Maxim Integrated Products Inc.",9669
"133","91DAE9","JMP Securities LLC",9666
"134","3ED502","Carlsberg A/S",9662
"135","CA806F","Clariant AG",9656
"136","751A74","Royal Caribbean Cruises Ltd.",9643
"137","867FD6","Japan Tobacco Inc.",9636
"138","4DC907","China Resources Beer (Holdings) Co. Ltd.",9630
"139","0A0BEE","Kunlun Energy Co. Ltd.",9628
"140","324285","Affiliated Computer Services Inc.",9620
"141","C70520","CSL Ltd.",9587
"142","0EBA3B","Baoshan Iron & Steel Co. Ltd.",9575
"143","4EB77D","Reckitt Benckiser Group PLC",9563
"144","58E293","Lexmark International Inc.",9563
"145","C4073B","Eaton Corp. PLC",9554
